Grupos,CaixaPostal,ReduzioAtraso,PFPJ,AtrasoAgosto,AtrasoOutubro,AtrasoDezembro,Variacao,Deducao
Controle,"NA",não,PF,1,3,4,1,685.1287328783931
Controle,"NA",não,PJ,1,2,3,1,576.9967760305395
Controle,"NA",não,PJ,0,1,2,1,592.3650646327676
Controle,"NA",não,PF,2,2,4,2,651.3121600434649
Controle,"NA",não,PF,3,5,6,1,652.9983997207908
Controle,"NA",não,PF,0,1,1,0,736.5205437198607
Controle,"NA",não,PJ,2,3,5,2,615.3961246423501
Controle,"NA",não,PF,3,6,8,2,419.6296409877127
Controle,"NA",não,PJ,3,5,7,2,653.9878865219891
Controle,"NA",não,PJ,0,2,2,0,711.4620572594445
Controle,"NA",não,PF,4,3,5,2,706.6075781329778
Controle,"NA",não,PF,1,0,1,1,679.9800756040694
Controle,"NA",não,PF,3,4,5,1,654.721916557726
Controle,"NA",não,PJ,0,2,4,2,647.3856587437228
Controle,"NA",não,PF,1,3,4,1,732.7644190315314
Controle,"NA",não,PF,0,0,2,2,663.0194350702151
Controle,"NA",não,PF,1,1,3,2,707.8324008329478
Controle,"NA",não,PJ,2,3,5,2,651.0476890452455
Controle,"NA",não,PJ,1,5,6,1,661.0504396789339
Controle,"NA",não,PF,2,2,3,1,556.133764972389
Controle,"NA",não,PJ,0,2,2,0,760.4206064858558
Controle,"NA",não,PJ,2,5,7,2,641.0898499951918
Controle,"NA",não,PJ,1,3,3,0,659.4267533146514
Controle,"NA",não,PJ,2,3,4,1,685.2720864695974
Controle,"NA",não,PJ,5,5,6,1,658.8524862652854
Controle,"NA",não,PF,0,1,2,1,564.3261622792352
Controle,"NA",não,PJ,0,2,3,1,552.3344765690581
Controle,"NA",não,PF,1,1,3,2,679.7848693719619
Controle,"NA",não,PF,0,1,4,3,566.852130848079
Controle,"NA",não,PF,3,4,3,-1,615.7801476192709
Controle,"NA",não,PJ,0,2,4,2,594.13582385734
Controle,"NA",não,PJ,2,2,2,0,494.80050071956896
Controle,"NA",não,PF,2,3,5,2,767.6007205893808
Controle,"NA",não,PF,0,1,2,1,466.5354849172381
Controle,"NA",não,PJ,2,3,4,1,723.3485092998037
Controle,"NA",não,PJ,1,3,6,3,658.4045423537146
Controle,"NA",não,PF,2,3,5,2,780.763918026496
Controle,"NA",não,PJ,3,5,5,0,612.7039030129167
Controle,"NA",não,PF,2,3,4,1,558.0467521125788
Controle,"NA",não,PF,2,1,1,0,697.2731876856088
Controle,"NA",não,PF,1,3,6,3,939.2059671734858
Controle,"NA",não,PJ,3,7,9,2,711.8143904204221
Coercitiva,Caixa Postal,não,PJ,1,1,4,3,575.2407885811667
Coercitiva,Caixa Postal,não,PJ,2,5,6,1,606.7557465376415
Coercitiva,Caixa Postal,não,PJ,3,6,7,1,712.1014514121695
Coercitiva,Caixa Postal,não,PF,3,6,7,1,605.5876464539418
Coercitiva,Caixa Postal,não,PF,4,5,9,4,718.4194075396767
Coercitiva,Caixa Postal,não,PJ,0,4,10,6,564.8022136798851
Coercitiva,Caixa Postal,não,PJ,3,5,8,3,568.1456616179214
Coercitiva,Caixa Postal,não,PF,3,4,7,3,685.6690526557577
Coercitiva,Caixa Postal,não,PJ,1,0,0,0,662.0757513565409
Coercitiva,Caixa Postal,não,PF,2,5,6,1,737.8797720933705
Coercitiva,Caixa Postal,não,PJ,1,1,2,1,577.2058126717999
Coercitiva,Caixa Postal,não,PF,2,1,1,0,584.3144783849361
Coercitiva,Caixa Postal,não,PJ,3,5,7,2,548.9274889067868
Coercitiva,Caixa Postal,não,PF,0,3,4,1,664.1426770134649
Coercitiva,Caixa Postal,não,PJ,1,5,7,2,702.3997340223046
Coercitiva,Caixa Postal,não,PJ,8,9,11,2,756.2103472398841
Coercitiva,Caixa Postal,não,PF,2,2,4,2,815.9709478749915
Coercitiva,Caixa Postal,não,PF,4,6,9,3,641.8152644652216
Coercitiva,Caixa Postal,não,PJ,2,1,4,3,515.6601653602895
Coercitiva,Caixa Postal,sim,PF,6,7,4,-3,663.5996231319729
Coercitiva,Caixa Postal,não,PJ,5,5,7,2,791.5575467109486
Coercitiva,Caixa Postal,não,PF,0,4,5,1,769.4042148031897
Coercitiva,Caixa Postal,não,PF,3,6,7,1,618.4877119264463
Coercitiva,Caixa Postal,não,PF,3,6,7,1,558.1219209618577
Coercitiva,Caixa Postal,não,PF,0,2,2,0,455.65814783306087
Coercitiva,Caixa Postal,sim,PJ,1,3,1,-2,681.2117978212956
Coercitiva,Caixa Postal,não,PF,4,3,7,4,651.5397379322579
Coercitiva,Caixa Postal,sim,PJ,1,1,0,-1,684.4860720776585
Coercitiva,Caixa Postal,não,PF,1,0,1,1,825.9386270353755
Coercitiva,Caixa Postal,não,PF,4,4,7,3,535.5653604112832
Coercitiva,Caixa Postal,não,PF,3,2,3,1,601.6609290353633
Coercitiva,Caixa Postal,não,PF,2,4,7,3,673.1816755998171
Coercitiva,Caixa Postal,não,PF,1,4,5,1,592.2926710234709
Coercitiva,Caixa Postal,sim,PF,2,2,1,-1,593.5012013872116
Coercitiva,Caixa Postal,não,PF,0,2,5,3,704.0910807929378
Coercitiva,Caixa Postal,não,PF,4,4,7,3,723.2876981004489
Coercitiva,Caixa Postal,não,PJ,1,2,6,4,711.847193949952
Coercitiva,Caixa Postal,sim,PF,2,2,1,-1,676.8713272794341
Coercitiva,Caixa Postal,não,PF,0,2,3,1,809.6138267010735
Coercitiva,Caixa Postal,não,PJ,1,0,0,0,579.1554421604935
Coercitiva,Caixa Postal,não,PJ,2,5,6,1,563.9676396913361
Coercitiva,Caixa Postal,sim,PJ,1,1,0,-1,565.4875751495567
Coercitiva,Caixa Postal,não,PJ,2,2,4,2,715.0351433253782
Coercitiva,Caixa Postal,não,PF,2,4,12,8,604.0194616256277
Coercitiva,Caixa Postal,não,PJ,2,0,1,1,536.7108685280973
Coercitiva,Caixa Postal,não,PF,3,3,3,0,601.0239195621899
Coercitiva,Caixa Postal,não,PF,1,0,2,2,710.2909652815072
Coercitiva,Caixa Postal,sim,PJ,3,5,4,-1,614.0154972187611
Coercitiva,Caixa Postal,não,PF,4,4,7,3,655.2344793766931
Coercitiva,Caixa Postal,sim,PF,4,5,4,-1,659.3942644627175
Coercitiva,Caixa Postal,não,PF,2,4,7,3,706.4347978535694
Coercitiva,Caixa Postal,não,PJ,2,2,5,3,772.5796054323064
Coercitiva,Caixa Postal,não,PF,1,2,5,3,560.6361675395001
Coercitiva,Caixa Postal,não,PF,2,4,4,0,674.6588190785508
Coercitiva,Caixa Postal,sim,PF,5,4,2,-2,566.7657458586034
Coercitiva,Caixa Postal,não,PJ,3,3,6,3,520.7147585521603
Coercitiva,Caixa Postal,não,PF,0,2,2,0,765.6620254632717
Coercitiva,Caixa Postal,não,PF,4,4,5,1,658.2608423731443
Coercitiva,Caixa Postal,não,PF,4,5,10,5,477.1569654310932
Coercitiva,Caixa Postal,não,PF,4,4,8,4,646.2511004847372
Coercitiva,Caixa Postal,sim,PJ,4,4,3,-1,586.1908346728018
Coercitiva,Caixa Postal,não,PF,2,4,6,2,846.9100804525709
Coercitiva,Caixa Postal,não,PF,2,1,4,3,614.7577821440326
Coercitiva,Caixa Postal,não,PJ,5,3,4,1,515.7801072412313
Coercitiva,Caixa Postal,não,PJ,0,4,5,1,698.8020635418641
Coercitiva,Caixa Postal,não,PF,4,7,9,2,664.5447329278403
Coercitiva,Caixa Postal,não,PJ,1,4,5,1,659.3669923007691
Coercitiva,Caixa Postal,não,PJ,1,3,3,0,626.6243439051332
Coercitiva,Caixa Postal,não,PF,6,7,7,0,601.8226885773211
Coercitiva,Caixa Postal,não,PJ,2,0,0,0,618.6146503181363
Coercitiva,Caixa Postal,não,PF,2,3,6,3,757.4701573487195
Coercitiva,Caixa Postal,não,PF,2,5,7,2,668.6401443787527
Coercitiva,Caixa Postal,não,PF,5,9,10,1,490.50626507434464
Coercitiva,Caixa Postal,não,PF,1,1,2,1,666.2647608101631
Coercitiva,Caixa Postal,não,PJ,2,1,4,3,743.8185173332879
Coercitiva,Caixa Postal,sim,PF,2,5,4,-1,581.3366111007994
Coercitiva,Caixa Postal,não,PJ,1,0,0,0,676.262551815376
Coercitiva,Caixa Postal,não,PF,0,0,0,0,629.4610691856883
Coercitiva,Caixa Postal,não,PJ,5,5,5,0,599.2846135719018
Coercitiva,Caixa Postal,não,PF,3,5,6,1,521.0188978976794
Coercitiva,Caixa Postal,não,PF,2,3,6,3,643.0887717759572
Coercitiva,Caixa Postal,não,PF,4,5,7,2,596.674203524755
Coercitiva,Caixa Postal,não,PJ,0,1,3,2,488.84529278082533
Coercitiva,Caixa Postal,não,PF,2,5,6,1,612.3410060429118
Coercitiva,Caixa Postal,não,PF,3,6,7,1,744.3772716304313
Coercitiva,Caixa Postal,não,PF,2,3,3,0,586.7409350272928
Coercitiva,Caixa Postal,não,PJ,3,1,4,3,661.6827334238503
Coercitiva,Caixa Postal,não,PF,3,4,6,2,760.8410855206873
Coercitiva,Caixa Postal,sim,PF,1,2,0,-2,524.2700347246483
Coercitiva,Caixa Postal,não,PF,0,0,2,2,571.5142551705097
Coercitiva,Caixa Postal,não,PJ,4,7,10,3,812.1920364299065
Coercitiva,Caixa Postal,não,PJ,1,3,3,0,684.8618372332462
Coercitiva,Caixa Postal,não,PF,2,1,1,0,593.2806670057265
Coercitiva,Caixa Postal,não,PF,2,8,9,1,695.4235315750759
Coercitiva,Caixa Postal,sim,PJ,2,3,1,-2,683.1099683282928
Coercitiva,Caixa Postal,não,PF,0,5,6,1,602.7542054151442
Coercitiva,Caixa Postal,não,PJ,5,4,4,0,590.5321930526251
Coercitiva,Caixa Postal,não,PF,0,0,0,0,562.1189527314373
Coercitiva,Caixa Postal,sim,PJ,4,4,2,-2,858.0686574065855
Coercitiva,Caixa Postal,não,PF,4,5,5,0,717.4937810206764
Coercitiva,Caixa Postal,não,PF,4,4,6,2,536.784139096862
Coercitiva,Caixa Postal,sim,PJ,3,2,1,-1,650.4065268024069
Coercitiva,Caixa Postal,sim,PF,5,6,4,-2,503.16893967927115
Coercitiva,Caixa Postal,não,PF,4,7,8,1,578.0138541145476
Coercitiva,Caixa Postal,sim,PF,3,5,4,-1,706.7337508058438
Coercitiva,Caixa Postal,não,PJ,4,4,5,1,549.7903860580093
Coercitiva,Sem resposta,não,PF,0,0,0,0,822.6781657681202
Coercitiva,Sem resposta,não,PF,0,0,0,0,530.6934950339253
Coercitiva,Sem resposta,não,PF,0,0,0,0,626.3250416530626
Aversão à Perda,Caixa Postal,não,PJ,2,4,6,2,618.3136900240148
Aversão à Perda,Caixa Postal,não,PF,1,3,4,1,604.1665722194556
Aversão à Perda,Caixa Postal,não,PF,1,3,5,2,454.47976373076114
Aversão à Perda,Caixa Postal,não,PF,2,4,6,2,732.4944216668662
Aversão à Perda,Caixa Postal,não,PF,1,3,5,2,616.4612555935624
Aversão à Perda,Caixa Postal,não,PF,2,4,6,2,486.53890350266556
Aversão à Perda,Caixa Postal,não,PJ,1,2,3,1,613.6931690989896
Aversão à Perda,Caixa Postal,não,PF,0,2,4,2,637.1087189998758
Aversão à Perda,Caixa Postal,não,PF,4,5,7,2,509.7030421711184
Aversão à Perda,Caixa Postal,não,PF,0,2,5,3,678.9779658744673
Aversão à Perda,Caixa Postal,não,PF,1,3,5,2,602.740423055935
Aversão à Perda,Caixa Postal,não,PJ,2,4,6,2,657.3243973031726
Aversão à Perda,Caixa Postal,não,PJ,4,7,9,2,755.1445460869938
Aversão à Perda,Caixa Postal,não,PJ,4,6,9,3,685.516040016853
Aversão à Perda,Caixa Postal,não,PF,2,3,5,2,526.863262846
Aversão à Perda,Caixa Postal,não,PF,2,4,6,2,669.570235984837
Aversão à Perda,Caixa Postal,não,PJ,1,3,6,3,657.3083496409981
Aversão à Perda,Caixa Postal,não,PF,0,2,4,2,659.9656997511318
Aversão à Perda,Caixa Postal,não,PJ,3,5,7,2,565.5244664201948
Aversão à Perda,Caixa Postal,não,PF,1,2,4,2,554.5588250787596
Aversão à Perda,Caixa Postal,não,PJ,2,3,5,2,669.5610265788387
Aversão à Perda,Caixa Postal,não,PF,1,4,6,2,677.2867973300521
Aversão à Perda,Caixa Postal,não,PF,3,4,6,2,708.5983931500548
Aversão à Perda,Caixa Postal,não,PF,3,5,7,2,525.669294699074
Aversão à Perda,Caixa Postal,não,PF,1,2,4,2,840.7034644629813
Aversão à Perda,Caixa Postal,não,PF,3,5,6,1,649.6313328443186
Aversão à Perda,Caixa Postal,não,PF,3,5,8,3,637.2512363569163
Aversão à Perda,Caixa Postal,não,PJ,3,6,8,2,645.2379551070412
Aversão à Perda,Caixa Postal,não,PF,1,3,5,2,634.094839174194
Aversão à Perda,Caixa Postal,não,PF,2,4,6,2,564.2378213320108
Aversão à Perda,Caixa Postal,não,PJ,0,2,4,2,693.9450020761748
Aversão à Perda,Caixa Postal,não,PF,5,7,9,2,776.4677885129214
Aversão à Perda,Caixa Postal,não,PF,0,3,5,2,614.5423206952124
Aversão à Perda,Caixa Postal,não,PJ,5,6,8,2,639.8184219346647
Aversão à Perda,Caixa Postal,não,PJ,1,3,5,2,772.6210497847349
Aversão à Perda,Caixa Postal,não,PF,4,6,9,3,612.3078683055841
Aversão à Perda,Caixa Postal,não,PF,3,5,7,2,734.5985884920449
Aversão à Perda,Caixa Postal,não,PJ,1,3,4,1,687.0388994658142
Aversão à Perda,Caixa Postal,não,PF,0,2,4,2,595.7710868872408
Aversão à Perda,Caixa Postal,não,PF,3,5,7,2,807.0952664478723
Aversão à Perda,Caixa Postal,não,PJ,2,3,6,3,835.0731696926849
Aversão à Perda,Caixa Postal,não,PF,3,5,7,2,691.8720225527334
Aversão à Perda,Caixa Postal,não,PJ,1,3,5,2,678.9018331514059
Aversão à Perda,Caixa Postal,não,PJ,3,5,8,3,545.99388131572
Aversão à Perda,Caixa Postal,não,PJ,3,6,7,1,707.5737542935759
Aversão à Perda,Caixa Postal,não,PJ,2,5,7,2,579.2118546214953
Aversão à Perda,Caixa Postal,não,PF,1,3,5,2,541.299754051946
Aversão à Perda,Caixa Postal,não,PF,2,4,6,2,460.6981800930303
Aversão à Perda,Caixa Postal,não,PJ,1,3,5,2,543.7175985446249
Aversão à Perda,Caixa Postal,não,PF,3,5,7,2,704.3781228937861
Aversão à Perda,Caixa Postal,não,PF,3,6,8,2,587.539789226039
Aversão à Perda,Caixa Postal,não,PJ,2,4,6,2,411.13615641782764
Aversão à Perda,Caixa Postal,não,PJ,3,5,7,2,625.447649292057
Aversão à Perda,Caixa Postal,não,PF,3,6,9,3,824.2328418371284
Aversão à Perda,Caixa Postal,não,PJ,2,4,7,3,805.1648554239642
Aversão à Perda,Caixa Postal,não,PJ,2,4,7,3,586.9276514947071
Aversão à Perda,Caixa Postal,não,PF,2,4,6,2,612.0049456062287
Aversão à Perda,Caixa Postal,não,PJ,3,5,6,1,611.9568695701748
Aversão à Perda,Caixa Postal,não,PJ,0,2,4,2,691.3970203295014
Aversão à Perda,Caixa Postal,não,PF,1,3,4,1,629.1431588510662
Aversão à Perda,Caixa Postal,não,PJ,2,4,6,2,571.5902119784599
Aversão à Perda,Caixa Postal,não,PF,0,3,5,2,651.4168658487894
Aversão à Perda,Caixa Postal,não,PJ,3,5,5,0,647.5839878717121
Aversão à Perda,Caixa Postal,não,PJ,3,6,8,2,596.6661309950089
Aversão à Perda,Caixa Postal,não,PF,4,5,7,2,593.7161675642601
Aversão à Perda,Caixa Postal,não,PJ,1,4,6,2,732.3238097619244
Aversão à Perda,Caixa Postal,não,PJ,4,7,9,2,711.961368309984
Aversão à Perda,Caixa Postal,não,PJ,3,4,7,3,549.6525276846418
Aversão à Perda,Caixa Postal,não,PJ,0,2,5,3,678.4418847942711
Aversão à Perda,Caixa Postal,não,PJ,2,4,6,2,605.2508341242001
Aversão à Perda,Caixa Postal,não,PJ,2,4,5,1,520.856257864775
Aversão à Perda,Caixa Postal,não,PF,5,7,9,2,643.230107014496
Aversão à Perda,Caixa Postal,não,PJ,1,3,4,1,498.42137122007955
Aversão à Perda,Caixa Postal,não,PF,2,4,6,2,719.9489038137042
Aversão à Perda,Caixa Postal,não,PF,1,3,4,1,555.505758635408
Aversão à Perda,Caixa Postal,não,PJ,2,4,6,2,530.4597359408018
Aversão à Perda,Caixa Postal,não,PJ,1,2,5,3,819.2340122017692
Aversão à Perda,Caixa Postal,não,PF,2,4,6,2,551.8975642171409
Aversão à Perda,Caixa Postal,não,PF,4,6,8,2,794.8906756296351
Aversão à Perda,Caixa Postal,não,PJ,1,3,5,2,575.61741280026
Aversão à Perda,Caixa Postal,não,PF,1,4,5,1,546.9394886446635
Aversão à Perda,Caixa Postal,não,PF,1,3,5,2,697.3416061771835
Aversão à Perda,Caixa Postal,não,PJ,0,2,4,2,676.2359319716796
Aversão à Perda,Caixa Postal,não,PJ,4,5,8,3,626.9690686622508
Aversão à Perda,Caixa Postal,não,PF,3,6,8,2,445.12036523485637
Aversão à Perda,Caixa Postal,não,PF,3,5,7,2,716.7190446647296
Aversão à Perda,Caixa Postal,não,PF,3,6,8,2,742.0134302387997
Aversão à Perda,Caixa Postal,não,PF,3,5,6,1,701.8139648842422
Aversão à Perda,Caixa Postal,não,PF,2,4,5,1,636.2001969887377
Aversão à Perda,Caixa Postal,não,PJ,5,7,9,2,850.2685315173371
Aversão à Perda,Caixa Postal,não,PJ,4,6,8,2,607.3165121988325
Aversão à Perda,Caixa Postal,não,PF,4,7,10,3,673.599695044527
Aversão à Perda,Caixa Postal,não,PJ,1,3,4,1,675.3503325489756
Aversão à Perda,Caixa Postal,não,PJ,1,3,5,2,576.7484927874631
Aversão à Perda,Caixa Postal,não,PJ,3,4,6,2,605.5707291879195
Aversão à Perda,Caixa Postal,não,PF,5,8,10,2,618.278182604734
Aversão à Perda,Caixa Postal,não,PF,2,4,5,1,637.699822543283
Aversão à Perda,Sem resposta,não,PF,0,0,0,0,521.3581249358971
Aversão à Perda,Sem resposta,não,PF,0,0,0,0,675.3338260149362
Aversão à Perda,Sem resposta,não,PF,0,0,0,0,753.031365515315
Aversão à Perda,Sem resposta,não,PF,0,0,0,0,445.30869156674777
Aversão à Perda,Sem resposta,não,PF,0,0,0,0,642.7565214439975
Aversão à Perda,Sem resposta,não,PF,0,0,0,0,657.5712118246638
Aversão à Perda,Sem resposta,não,PF,0,0,0,0,677.6730887629467
Aversão à Perda,Sem resposta,não,PF,0,0,0,0,575.8010164287383
Aversão à Perda,Sem resposta,não,PF,0,0,0,0,462.0362442863096
Aversão à Perda,Sem resposta,não,PF,0,0,0,0,545.7256966868764
Aversão à Perda,Sem resposta,não,PF,0,0,0,0,609.6540845685433
Lembrete,Caixa Postal,não,PJ,0,3,5,2,622.4265126632464
Lembrete,Caixa Postal,não,PF,1,0,0,0,672.9924957170231
Lembrete,Caixa Postal,não,PJ,3,6,8,2,569.1496695816334
Lembrete,Caixa Postal,sim,PF,3,3,0,-3,760.8769421729652
Lembrete,Caixa Postal,não,PF,2,0,2,2,361.08442137491176
Lembrete,Caixa Postal,sim,PF,1,3,2,-1,700.9425203479839
Lembrete,Caixa Postal,não,PJ,2,6,9,3,724.4871986378212
Lembrete,Caixa Postal,sim,PF,2,3,2,-1,654.5109337358165
Lembrete,Caixa Postal,não,PF,1,0,9,9,581.291162360302
Lembrete,Caixa Postal,sim,PF,5,8,6,-2,753.09119035416
Lembrete,Caixa Postal,não,PF,2,4,4,0,813.6446821912176
Lembrete,Caixa Postal,não,PF,2,6,6,0,685.9850837235659
Lembrete,Caixa Postal,não,PF,3,4,7,3,736.8467348508109
Lembrete,Caixa Postal,não,PJ,3,4,6,2,607.77829448076875
Lembrete,Caixa Postal,não,PF,1,0,0,0,639.1180527869501
Lembrete,Caixa Postal,sim,PJ,3,4,3,-1,526.8687320273738
Lembrete,Caixa Postal,não,PF,0,0,0,0,662.3123940897146
Lembrete,Caixa Postal,não,PJ,2,7,10,3,554.8129680376858
Lembrete,Caixa Postal,não,PF,2,4,9,5,719.364245571577
Lembrete,Caixa Postal,não,PJ,0,1,1,0,736.2628981682401
Lembrete,Caixa Postal,não,PF,1,2,4,2,753.4606179536104
Lembrete,Caixa Postal,sim,PF,2,5,4,-1,772.5020978165742
Lembrete,Caixa Postal,sim,PF,4,7,6,-1,468.21608357162415
Lembrete,Caixa Postal,não,PJ,1,2,5,3,643.0598044054005
Lembrete,Caixa Postal,não,PJ,2,0,4,4,560.622967973524
Lembrete,Caixa Postal,não,PF,3,3,5,2,656.9284273140811
Lembrete,Caixa Postal,sim,PJ,0,1,0,-1,664.0118195987097
Lembrete,Caixa Postal,sim,PF,3,6,0,-6,481.03875653997426
Lembrete,Caixa Postal,não,PF,0,0,3,3,711.1814959917839
Lembrete,Caixa Postal,não,PJ,1,3,8,5,648.706186578987
Lembrete,Caixa Postal,sim,PJ,2,3,0,-3,811.7250049590393
Lembrete,Caixa Postal,não,PF,3,3,5,2,410.78595547400255
Lembrete,Caixa Postal,não,PJ,2,5,10,5,614.5794049464869
Lembrete,Caixa Postal,não,PF,2,2,5,3,694.2638009149655
Lembrete,Caixa Postal,sim,PF,2,3,0,-3,657.5864202775017
Lembrete,Caixa Postal,não,PJ,0,2,3,1,828.0930524174677
Lembrete,Caixa Postal,não,PJ,1,1,1,0,749.7715214064567
Lembrete,Caixa Postal,sim,PJ,3,4,2,-2,655.4181975116851
Lembrete,Caixa Postal,sim,PF,2,2,0,-2,814.130889068678
Lembrete,Caixa Postal,sim,PJ,3,4,0,-4,602.6911259923673
Lembrete,Caixa Postal,sim,PF,1,2,0,-2,657.2370549753834
Lembrete,Caixa Postal,não,PF,3,9,10,1,783.5024643296935
Lembrete,Caixa Postal,não,PF,2,4,11,7,696.868171657435
Lembrete,Caixa Postal,não,PF,1,1,5,4,541.6214232273642
Lembrete,Caixa Postal,não,PJ,2,2,2,0,720.691378059164
Lembrete,Caixa Postal,sim,PF,0,6,5,-1,660.0238374996596
Lembrete,Caixa Postal,sim,PJ,3,5,2,-3,632.6072131159142
Lembrete,Caixa Postal,sim,PJ,1,4,0,-4,535.8313081523991
Lembrete,Caixa Postal,sim,PJ,3,6,2,-4,716.1101003849873
Lembrete,Caixa Postal,sim,PJ,4,5,4,-1,613.3495620118376
Lembrete,Caixa Postal,não,PF,2,5,6,1,567.7101998126429
Lembrete,Caixa Postal,não,PJ,1,0,0,0,581.4020512601144
Lembrete,Caixa Postal,não,PF,1,3,8,5,666.3126714124379
Lembrete,Caixa Postal,não,PJ,2,6,6,0,731.3022445485273
Lembrete,Caixa Postal,sim,PF,1,5,0,-5,465.6034191206437
Lembrete,Caixa Postal,não,PJ,1,4,5,1,619.7020331104563
Lembrete,Caixa Postal,não,PF,0,3,3,0,829.3402408194008
Lembrete,Caixa Postal,sim,PJ,2,3,0,-3,634.2088272911063
Lembrete,Caixa Postal,não,PF,0,1,3,2,481.1532287969269
Lembrete,Caixa Postal,não,PJ,2,3,7,4,618.7247412019125
Lembrete,Caixa Postal,não,PF,1,2,8,6,531.1519777943098
Lembrete,Caixa Postal,não,PF,4,7,9,2,660.4695397887264
Lembrete,Caixa Postal,sim,PF,2,4,0,-4,508.6479604834643
Lembrete,Caixa Postal,não,PF,0,0,6,6,610.6065785099372
Lembrete,Caixa Postal,não,PJ,0,1,7,6,593.8275851063158
Lembrete,Caixa Postal,não,PF,1,4,5,1,515.5324887562418
Lembrete,Caixa Postal,sim,PJ,0,1,0,-1,550.2887687792365
Lembrete,Caixa Postal,não,PF,2,0,0,0,614.4771222468326
